'sample interval','ABP'
264,145.306
265,144.524
266,143.546
267,142.373
268,141.395
269,140.222
270,139.048
271,138.070
272,137.093
273,136.310
274,135.333
275,134.550
276,133.768
277,132.986
278,132.203
279,131.617
280,131.030
281,130.248
282,129.661
283,129.074
284,128.292
285,127.705
286,126.923
287,126.336
288,125.554
289,124.967
290,124.185
291,123.599
292,123.012
293,122.425
294,121.838
295,121.447
296,121.056
297,121.056
298,121.252
299,122.034
300,123.207
301,124.967
302,126.728
303,128.683
304,130.248
305,132.008
306,133.377
307,134.746
308,135.919
309,137.093
310,138.070
311,138.853
312,139.635
313,140.613
314,141.200
315,141.982
316,142.569
317,143.351
318,143.938
319,144.329
320,144.915
321,145.111
322,145.306
323,145.306
324,145.306
325,145.111
326,144.720
327,144.329
328,143.546
329,142.764
330,141.982
331,140.808
332,139.831
333,138.853
334,137.679
335,136.702
336,135.724
337,134.941
338,134.355
339,133.572
340,132.986
341,132.399
342,131.617
343,131.030
344,130.443
345,129.857
346,129.074
347,128.488
348,127.705
349,127.119
350,126.336
351,125.554
352,124.967
353,124.381
354,123.794
355,123.207
356,122.621
357,122.034
358,121.447
359,121.056
360,120.665
361,120.665
362,121.056
363,121.838
364,123.207
365,124.967
366,126.923
367,128.683
368,130.443
369,132.008
370,133.377
371,134.746
372,135.919
373,137.093
374,138.070
375,139.048
376,139.831
377,140.808
378,141.591
379,142.177
380,142.960
381,143.546
382,143.938
383,144.524
384,144.915
385,145.111
386,145.306
387,145.306
388,145.306
389,144.915
390,144.524
391,143.938
392,143.351
393,142.569
394,141.786
395,141.004
396,140.026
397,139.244
398,138.266
399,137.484
400,136.702
401,135.919
402,135.137
403,134.355
404,133.572
405,132.986
406,132.203
407,131.421
408,130.835
409,130.052
410,129.466
411,128.879
412,128.292
413,127.705
414,127.119
415,126.728
416,126.141
417,125.554
418,125.163
419,124.576
420,123.990
421,123.403
422,122.621
423,122.230
424,121.838
425,121.838
426,122.425
427,123.599
428,125.163
429,127.119
430,128.879
431,130.835
432,132.595
433,133.964
434,135.333
435,136.506
436,137.679
437,138.853
438,139.831
439,140.808
440,141.786
441,142.569
442,143.351
443,144.133
444,144.720
445,145.306
446,145.893
447,146.284
448,146.675
449,146.871
450,146.871
451,146.871
452,146.480
453,145.893
454,145.306
455,144.329
456,143.155
457,142.177
458,141.004
459,139.831
460,139.048
461,138.070
462,137.288
463,136.702
464,135.919
465,135.333
466,134.746
467,134.159
468,133.768
469,133.377
470,132.986
471,132.595
472,132.008
473,131.617
474,131.226
475,130.639
476,130.052
477,129.466
478,128.879
479,128.292
480,127.705
481,127.119
482,126.728
483,126.141
484,125.554
485,124.967
486,124.381
487,123.990
488,123.794
489,123.990
490,124.576
491,125.945
492,127.901
493,130.052
494,132.399
495,134.550
496,136.506
497,138.266
498,139.831
499,141.200
500,142.373
501,143.546
502,144.329
503,145.306
504,145.893
505,146.675
506,147.262
507,147.849
508,148.240
509,148.631
510,149.022
511,149.413
512,149.609
513,149.413
514,149.218
515,148.827
516,148.240
517,147.262
518,146.089
519,144.915
520,143.742
521,142.373
522,141.200
523,140.222
524,139.244
525,138.266
526,137.484
527,136.506
528,135.724
529,134.941
530,134.159
531,133.377
532,132.790
533,131.812
534,131.030
535,130.052
536,129.074
537,128.097
538,127.119
539,126.336
540,125.554
541,124.772
542,123.990
543,123.207
544,122.621
545,121.838
546,121.056
547,120.274
548,119.296
549,118.318
550,117.536
551,116.949
552,116.754
553,117.536
554,119.296
555,121.838
556,124.576
557,127.314
558,129.857
559,132.008
560,133.768
561,135.137
562,136.506
563,137.679
564,138.657
565,139.439
566,140.417
567,141.004
568,141.786
569,142.373
570,142.960
571,143.546
572,143.938
573,144.329
574,144.720
575,144.915
576,144.915
577,144.720
578,144.524
579,143.938
580,143.155
581,142.177
582,141.004
583,139.831
584,138.853
585,137.679
586,136.702
587,135.724
588,134.746
589,133.964
590,133.181
591,132.203
592,131.226
593,130.248
594,129.466
595,128.488
596,127.510
597,126.532
598,125.554
599,124.576
600,123.599
601,122.621
602,121.838
603,120.861
604,119.883
605,118.905
606,117.927
607,116.949
608,115.971
609,114.994
610,114.016
611,113.038
612,112.256
613,111.473
614,110.887
615,110.691
616,111.278
617,113.038
618,115.385
619,118.318
620,121.252
621,123.990
622,126.336
623,128.292
624,129.857
625,131.226
626,132.399
627,133.572
628,134.550
629,135.528
630,136.310
631,137.093
632,137.679
633,138.266
634,139.048
635,139.439
636,140.026
637,140.417
638,140.808
639,141.004
640,141.004
641,141.004
642,140.613
643,139.831
644,138.853
645,137.679
646,136.115
647,134.550
648,132.986
649,131.226
650,129.661
651,128.097
652,126.728
653,125.359
654,123.990
655,123.012
656,122.034
657,121.252
658,120.469
659,119.687
660,118.905
661,118.318
662,117.536
663,116.754
664,115.776
665,114.798
666,113.820
667,112.647
668,111.669
669,110.496
670,109.713
671,108.735
672,108.149
673,107.366
674,106.780
675,106.193
676,105.606
677,105.020
678,104.433
679,104.237
680,104.824
681,106.193
682,108.540
683,111.473
684,114.798
685,117.731
686,120.274
687,122.425
688,124.185
689,125.750
690,127.119
691,128.097
692,129.270
693,130.052
694,131.030
695,131.812
696,132.595
697,133.377
698,134.159
699,134.746
700,135.333
701,135.919
702,136.310
703,136.702
704,136.897
705,136.702
706,136.310
707,135.528
708,134.355
709,132.986
710,131.421
711,129.857
712,128.292
713,126.728
714,125.163
715,123.990
716,122.816
717,121.838
718,121.056
719,120.274
720,119.492
721,119.100
722,118.514
723,117.927
724,117.145
725,116.558
726,115.776
727,114.994
728,114.211
729,113.429
730,112.842
731,112.060
732,111.473
733,110.691
734,110.104
735,109.518
736,108.931
737,108.344
738,107.562
739,106.975
740,106.193
741,105.606
742,105.411
743,105.802
744,107.171
745,109.713
746,112.842
747,116.363
748,119.492
749,122.230
750,124.381
751,126.336
752,127.901
753,129.270
754,130.639
755,131.812
756,132.790
757,133.964
758,134.746
759,135.724
760,136.506
761,137.288
762,138.070
763,138.657
764,139.244
765,139.635
766,139.831
767,140.026
768,139.831
769,139.244
770,138.462
771,137.288
772,135.724
773,133.964
774,132.203
775,130.443
776,128.879
777,127.119
778,125.554
779,124.185
780,122.816
781,121.447
782,120.274
783,119.100
784,117.927
785,116.754
786,115.776
787,114.798
788,114.016
789,113.233
790,112.256
791,111.473
792,110.496
793,109.713
794,108.735
795,107.758
796,106.780
797,105.606
798,104.433
799,103.260
800,102.086
801,101.108
802,100.130
803,99.348
804,98.566
805,98.175
806,98.370
807,99.544
808,102.086
809,105.606
810,109.518
811,113.429
812,116.949
813,119.883
814,122.230
815,124.185
816,125.945
817,127.314
818,128.683
819,129.857
820,130.835
821,131.617
822,132.399
823,133.181
824,133.572
825,134.159
826,134.550
827,134.746
828,134.941
829,135.137
830,135.137
831,134.941
832,134.355
833,133.572
834,132.203
835,130.443
836,128.292
837,125.945
838,123.403
839,120.861
840,118.318
841,116.167
842,114.016
843,112.451
844,111.278
845,110.300
846,109.322
847,108.540
848,107.953
849,107.171
850,106.584
851,105.606
852,104.824
853,103.846
854,102.673
855,101.695
856,100.717
857,99.739
858,98.957
859,98.175
860,97.588
861,96.806
862,96.219
863,95.632
864,95.046
865,94.459
866,93.481
867,92.699
868,91.917
869,91.330
870,91.330
871,92.503
872,95.046
873,98.761
874,102.868
875,106.975
876,110.496
877,113.233
878,115.580
879,117.340
880,118.905
881,120.078
882,121.056
883,122.034
884,123.012
885,123.794
886,124.576
887,125.359
888,125.750
889,126.336
890,126.728
891,127.119
892,127.119
893,127.314
894,127.119
895,126.728
896,126.141
897,125.163
898,123.990
899,122.425
900,120.861
901,119.100
902,117.340
903,115.776
904,114.211
905,112.842
906,111.473
907,110.300
908,109.322
909,108.149
910,107.171
911,106.389
912,105.606
913,104.628
914,104.042
915,103.455
916,102.868
917,102.477
918,101.891
919,101.108
920,100.326
921,99.544
922,98.761
923,97.979
924,97.001
925,96.219
926,95.241
927,94.459
928,93.872
929,93.286
930,92.699
931,92.308
932,91.917
933,91.917
934,92.699
935,94.459
936,97.393
937,101.304
938,105.606
939,109.518
940,112.842
941,115.580
942,117.731
943,119.492
944,121.056
945,122.230
946,123.403
947,124.381
948,125.359
949,125.945
950,126.728
951,127.119
952,127.510
953,127.901
954,128.292
955,128.488
956,128.683
957,128.683
958,128.683
959,128.292
960,127.705
961,126.728
962,125.359
963,123.794
964,122.034
965,120.274
966,118.514
967,116.949
968,115.385
969,114.211
970,113.233
971,112.647
972,111.864
973,111.278
974,110.691
975,110.104
976,109.518
977,108.735
978,107.953
979,107.171
980,106.193
981,105.215
982,104.237
983,103.260
984,102.673
985,102.086
986,101.499
987,100.913
988,100.326
989,99.739
990,99.153
991,98.370
992,97.588
993,96.806
994,96.024
995,95.241
996,94.655
997,94.655
998,95.632
999,98.175
1000,102.282
1001,106.975
1002,111.864
1003,116.167
1004,119.492
1005,122.230
1006,124.185
1007,125.945
1008,127.314
1009,128.488
1010,129.466
1011,130.443
1012,131.226
1013,132.008
1014,132.595
1015,132.986
1016,133.377
1017,133.572
1018,133.768
1019,133.768
1020,133.572
1021,133.377
1022,132.790
1023,132.008
1024,130.835
1025,129.270
1026,127.510
1027,125.359
1028,123.012
1029,120.861
1030,118.709
1031,116.754
1032,115.189
1033,113.820
1034,112.647
1035,111.473
1036,110.300
1037,109.322
1038,108.344
1039,107.366
1040,106.584
1041,105.802
1042,105.215
1043,104.433
1044,103.846
1045,102.868
1046,102.086
1047,101.108
1048,100.326
1049,99.348
1050,98.370
1051,97.393
1052,96.415
1053,95.437
1054,94.459
1055,93.677
1056,93.090
1057,92.308
1058,91.721
1059,91.134
1060,90.548
1061,90.548
1062,91.525
1063,93.872
1064,97.784
1065,102.477
1066,107.366
1067,111.864
1068,115.580
1069,118.514
1070,120.861
1071,122.816
1072,124.185
1073,125.554
1074,126.532
1075,127.510
1076,128.292
1077,128.879
1078,129.466
1079,130.052
1080,130.248
1081,130.443
1082,130.639
1083,130.639
1084,130.443
1085,130.248
1086,129.857
1087,129.074
1088,127.901
1089,126.336
1090,124.185
1091,122.034
1092,119.492
1093,117.145
1094,114.994
1095,113.233
1096,111.864
1097,110.691
1098,109.713
1099,108.931
1100,108.344
1101,107.758
1102,107.171
1103,106.584
1104,105.997
1105,105.411
1106,104.628
1107,104.042
1108,103.064
1109,102.282
1110,101.499
1111,100.717
1112,99.935
1113,99.348
1114,98.761
1115,98.175
1116,97.588
1117,97.001
1118,96.415
1119,95.828
1120,95.241
1121,94.459
1122,93.677
1123,93.090
1124,92.699
1125,93.286
1126,95.241
1127,98.761
1128,103.455
1129,108.735
1130,113.625
1131,117.927
1132,121.252
1133,123.794
1134,125.945
1135,127.510
1136,128.879
1137,130.052
1138,131.226
1139,132.203
1140,133.181
1141,133.964
1142,134.746
1143,135.333
1144,135.528
1145,135.724
1146,135.724
1147,135.724
1148,135.333
1149,134.746
1150,133.768
1151,132.399
1152,130.835
1153,128.683
1154,126.336
1155,123.990
1156,121.643
1157,119.492
1158,117.731
1159,116.363
1160,114.994
1161,114.016
1162,113.038
1163,112.256
1164,111.473
1165,110.691
1166,110.104
1167,109.127
1168,108.540
1169,107.562
1170,106.975
1171,106.193
1172,105.411
1173,104.628
1174,103.846
1175,102.868
1176,101.891
1177,101.108
1178,100.130
1179,99.348
1180,98.566
1181,97.784
1182,97.197
1183,96.610
1184,96.024
1185,95.437
1186,94.850
1187,94.459
1188,94.655
1189,95.632
1190,97.979
1191,101.891
1192,107.171
1193,112.451
1194,117.731
1195,122.034
1196,125.554
1197,128.488
1198,130.639
1199,132.399
1200,133.768
1201,134.941
1202,135.919
1203,136.702
1204,137.484
1205,137.875
1206,138.266
1207,138.462
1208,138.657
1209,138.853
1210,138.853
1211,138.657
1212,138.462
1213,137.679
1214,136.702
1215,135.137
1216,133.181
1217,130.639
1218,127.705
1219,124.772
1220,121.838
1221,119.100
1222,116.949
1223,114.994
1224,113.429
1225,112.256
1226,111.278
1227,110.300
1228,109.322
1229,108.540
1230,107.758
1231,106.975
1232,105.997
1233,105.215
1234,104.237
1235,103.064
1236,102.282
1237,101.304
1238,100.326
1239,99.544
1240,98.761
1241,97.979
1242,97.197
1243,96.415
1244,95.828
1245,95.046
1246,94.068
1247,93.286
1248,92.308
1249,91.525
